framework              , test                                                         , time (μs)
alien_signals          , avoidablePropagation                                         , 103128   
alien_signals          , broadPropagation                                             , 195506   
alien_signals          , deepPropagation                                              , 77692    
alien_signals          , diamond                                                      , 135102   
alien_signals          , mux                                                          , 199750   
alien_signals          , repeatedObservers                                            , 14467    
alien_signals          , triangle                                                     , 54662    
alien_signals          , unstable                                                     , 27004    
alien_signals          , molBench                                                     , 324379   
alien_signals          , create_signals                                               , 1730     
alien_signals          , comp_0to1                                                    , 914      
alien_signals          , comp_1to1                                                    , 2805     
alien_signals          , comp_2to1                                                    , 1305     
alien_signals          , comp_4to1                                                    , 1844     
alien_signals          , comp_1000to1                                                 , 164      
alien_signals          , comp_1to2                                                    , 1364     
alien_signals          , comp_1to4                                                    , 1762     
alien_signals          , comp_1to8                                                    , 2598     
alien_signals          , comp_1to1000                                                 , 418      
alien_signals          , update_1to1                                                  , 2615     
alien_signals          , update_2to1                                                  , 1462     
alien_signals          , update_4to1                                                  , 671      
alien_signals          , update_1000to1                                               , 9        
alien_signals          , update_1to2                                                  , 1537     
alien_signals          , update_1to4                                                  , 691      
alien_signals          , update_1to1000                                               , 23       
alien_signals          , cellx 1000                                                   , 5066     
alien_signals          , cellx 2500                                                   , 11052    
alien_signals          , cellx 5000                                                   , 27055    
alien_signals          , 10x5 - 2 sources - read 20.0% (simple)                       , 210244   
alien_signals          , 10x10 - 6 sources - dynamic - read 20.0% (dynamic)           , 120361   
alien_signals          , 1000x12 - 4 sources - dynamic (large)                        , 231763   
alien_signals          , 1000x5 - 25 sources (wide dense)                             , 306360   
alien_signals          , 5x500 - 3 sources (deep)                                     , 123906   
alien_signals          , 100x15 - 6 sources - dynamic (very dynamic)                  , 173016   
framework              , test                                                         , time (μs)
preact_signals         , avoidablePropagation                                         , 108558   
preact_signals         , broadPropagation                                             , 276301   
preact_signals         , deepPropagation                                              , 82915    
preact_signals         , diamond                                                      , 147262   
preact_signals         , mux                                                          , 197341   
preact_signals         , repeatedObservers                                            , 25054    
preact_signals         , triangle                                                     , 57231    
preact_signals         , unstable                                                     , 39670    
preact_signals         , molBench                                                     , 326883   
preact_signals         , create_signals                                               , 10282    
preact_signals         , comp_0to1                                                    , 1285     
preact_signals         , comp_1to1                                                    , 3568     
preact_signals         , comp_2to1                                                    , 2287     
preact_signals         , comp_4to1                                                    , 1399     
preact_signals         , comp_1000to1                                                 , 8        
preact_signals         , comp_1to2                                                    , 1118     
preact_signals         , comp_1to4                                                    , 2040     
preact_signals         , comp_1to8                                                    , 3269     
preact_signals         , comp_1to1000                                                 , 538      
preact_signals         , update_1to1                                                  , 5586     
preact_signals         , update_2to1                                                  , 2587     
preact_signals         , update_4to1                                                  , 1194     
preact_signals         , update_1000to1                                               , 13       
preact_signals         , update_1to2                                                  , 2469     
preact_signals         , update_1to4                                                  , 1132     
preact_signals         , update_1to1000                                               , 22       
preact_signals         , cellx 1000                                                   , 5485     
preact_signals         , cellx 2500                                                   , 15068    
preact_signals         , cellx 5000                                                   , 40202    
preact_signals         , 10x5 - 2 sources - read 20.0% (simple)                       , 301351   
preact_signals         , 10x10 - 6 sources - dynamic - read 20.0% (dynamic)           , 133182   
preact_signals         , 1000x12 - 4 sources - dynamic (large)                        , 2477892  
preact_signals         , 1000x5 - 25 sources (wide dense)                             , 2262170  
preact_signals         , 5x500 - 3 sources (deep)                                     , 118379   
preact_signals         , 100x15 - 6 sources - dynamic (very dynamic)                  , 213629   
framework              , test                                                         , time (μs)
signals                , avoidablePropagation                                         , 385929   
signals                , broadPropagation                                             , 982551   
signals                , deepPropagation                                              , 421643   
signals                , diamond                                                      , 645941   
signals                , mux                                                          , 325681   
signals                , repeatedObservers                                            , 58479    
signals                , triangle                                                     , 221294   
signals                , unstable                                                     , 94018    
signals                , molBench                                                     , 367897   
signals                , create_signals                                               , 39504    
signals                , comp_0to1                                                    , 28443    
signals                , comp_1to1                                                    , 24415    
signals                , comp_2to1                                                    , 13435    
signals                , comp_4to1                                                    , 13340    
signals                , comp_1000to1                                                 , 44       
signals                , comp_1to2                                                    , 50006    
signals                , comp_1to4                                                    , 52474    
signals                , comp_1to8                                                    , 39679    
signals                , comp_1to1000                                                 , 23580    
signals                , update_1to1                                                  , 65457    
signals                , update_2to1                                                  , 33865    
signals                , update_4to1                                                  , 16759    
signals                , update_1000to1                                               , 157      
signals                , update_1to2                                                  , 34039    
signals                , update_1to4                                                  , 16961    
signals                , update_1to1000                                               , 392      
signals                , cellx 1000                                                   , 15272    
signals                , cellx 2500                                                   , 55505    
signals                , cellx 5000                                                   , 103630   
signals                , 10x5 - 2 sources - read 20.0% (simple)                       , 944972   
signals                , 10x10 - 6 sources - dynamic - read 20.0% (dynamic)           , 365516   
signals                , 1000x12 - 4 sources - dynamic (large)                        , 3120110  
signals                , 1000x5 - 25 sources (wide dense)                             , 2810239  
signals                , 5x500 - 3 sources (deep)                                     , 458525   
signals                , 100x15 - 6 sources - dynamic (very dynamic)                  , 466153   
framework              , test                                                         , time (μs)
solidart               , avoidablePropagation                                         , 800215   
solidart               , broadPropagation                                             , 2189332  
solidart               , deepPropagation                                              , 818380   
solidart               , diamond                                                      , 1321617  
solidart               , mux                                                          , 762210   
solidart               , repeatedObservers                                            , 90153    
solidart               , triangle                                                     , 481765   
solidart               , unstable                                                     , 149999   
solidart               , molBench                                                     , 1103060  
solidart               , create_signals                                               , 12214    
solidart               , comp_0to1                                                    , 8201     
solidart               , comp_1to1                                                    , 20579    
solidart               , comp_2to1                                                    , 9122     
solidart               , comp_4to1                                                    , 13448    
solidart               , comp_1000to1                                                 , 1858     
solidart               , comp_1to2                                                    , 20391    
solidart               , comp_1to4                                                    , 16859    
solidart               , comp_1to8                                                    , 12275    
solidart               , comp_1to1000                                                 , 8932     
solidart               , update_1to1                                                  , 26938    
solidart               , update_2to1                                                  , 13365    
solidart               , update_4to1                                                  , 6771     
solidart               , update_1000to1                                               , 86       
solidart               , update_1to2                                                  , 13546    
solidart               , update_1to4                                                  , 7036     
solidart               , update_1to1000                                               , 133      
solidart               , cellx 1000                                                   , 60074    
solidart               , cellx 2500                                                   , 193576   
solidart               , cellx 5000                                                   , 425164   
solidart               , 10x5 - 2 sources - read 20.0% (simple)                       , 1262810  
[31mcount solidart simple result:4200119 expected:3180010[0m
solidart               , 10x10 - 6 sources - dynamic - read 20.0% (dynamic)           , 1102152  
[31mcount solidart dynamic result:1626522 expected:1140004[0m
solidart               , 1000x12 - 4 sources - dynamic (large)                        , 2214539  
[31mcount solidart large result:9228429 expected:1473789[0m
solidart               , 1000x5 - 25 sources (wide dense)                             , 2695678  
[31mcount solidart wide dense result:3734737 expected:735756[0m
solidart               , 5x500 - 3 sources (deep)                                     , 894601   
[31mcount solidart deep result:1999683 expected:1246502[0m
solidart               , 100x15 - 6 sources - dynamic (very dynamic)                  , 1282773  
[31mcount solidart very dynamic result:1885314 expected:1078734[0m
